name,country,height_cm,weight_kg,age,birthdate,singles_rank_current,singles_rank_highest,doubles_rank_current,doubles_rank_highest,sex,plays
Cadar Elena-Teodora,Romania,,,32,24. 2. 1994,913,346,664,385,woman,right
Bizimana Mele,Rwanda,,,33,25. 11. 1992,,,,,man,right
Baumgartner Stefanie,Austria,,,,,,,,,woman,right
Bogatin Julija,Slovenia,,,19,1. 1. 2007,,,,,woman,right
Bar Biryukov Petr,Russia,,,24,28. 2. 2002,322,267,295,293,man,left
Abdel Rahim Salma,Egypt,,,25,6. 7. 2000,-,1248,,,woman,right
Vignikin Rodrigue,Benin,,,45,12. 5. 1980,,,-,1670,man,right
Mbandi Arnold,Kenya,,,38,13. 7. 1987,,,,,man,right
Saraiva Dos Santos Paulo Andre,Brazil,,,25,23. 6. 2000,593,548,314,204,man,right
Bevc Martin,Slovenia,,,34,10. 7. 1991,,,,,man,right
Luk Kei Yuen,Hong Kong,,,26,19. 2. 2000,,,,,woman,right
Chen Ke-Hung,Chinese Taipei,,,25,21. 10. 2000,,,,,man,right
Fadda Abdullah,Jordan,,,41,6. 1. 1985,,,,,man,right
Hedman Alex,Finland,,,30,23. 2. 1996,-,1743,-,1105,man,right
Almuqail Bader Mohammed,Saudi Arabia,,,55,1. 9. 1970,,,-,1535,man,right
Guba Lachlan Patteson,Solomon Islands,,,,,,,,,man,
Ivanihina Diana,Tajikistan,,,,,,,,,woman,
Barisic Ivan,Croatia,,,39,17. 7. 1986,,,,,man,right
Chapepa Kudzai Erin Patience,Zimbabwe,,,,,,,,,woman,right
Bains Naiktha,Great Britain,,,28,17. 12. 1997,389,199,291,87,woman,right
Hernandez Christopher,Guatemala,,,41,9. 7. 1984,,,,,man,right
Aginskiy Semen,Ukraine,,,21,1. 1. 2005,,,,,man,right
Moutet Corentin,France,175,68,26,19. 4. 1999,33,31,347,72,man,left
Braynin Aleksandr,Ukraine,,,26,29. 8. 1999,773,636,461,459,man,right
Duarte Tajtaj Carlos Enrique,Guatemala,,,45,10. 6. 1980,,,,,man,right
Meliss Verena,Italy,,,28,21. 7. 1997,570,487,1086,569,woman,right
Korneeva Alina,Russia,,,18,23. 6. 2007,125,125,311,223,woman,right
Ben Chiekh Leith,Tunisia,,,21,30. 7. 2004,,,,,man,right
August Kyle Duncan,New Zealand,,,36,16. 3. 1989,,,,,man,right
Ntwali Akim,Rwanda,,,30,5. 5. 1995,,,,,man,right
Snyder Sara Isabel,Puerto Rico,,,,,,,,,woman,right
Andronicou Nina,Cyprus,,,18,1. 1. 2008,,,1624,1516,woman,right
Al Ghareeb Mohammed,Kuwait,,,45,22. 7. 1980,-,336,-,264,man,right
Biletic Mario,Bosnia and Herzeg.,,,39,25. 5. 1986,,,-,1395,man,right
Erorita Marirtta,Philippines,,,40,19. 11. 1985,,,,,woman,right
Navarro Oliva Maria Fernanda,Mexico,,,29,22. 6. 1996,593,583,418,397,woman,right
Allotey Albert,Ghana,,,47,10. 4. 1978,,,,,man,right
Zeballos Federico,Bolivia,185,75,37,30. 5. 1988,1301,440,113,79,man,right
Tunas Guillermo,Mexico,,,22,1. 1. 2004,2050,1944,1951,1840,man,right
Dellavedova Matthew,Australia,191,81,25,30. 5. 2000,519,334,-,1016,man,right
Bakshi Aleksandre,Georgia,,,28,15. 7. 1997,575,448,532,304,man,left
Mi Tianmi,China,,,,,1098,639,-,793,woman,right
Burkholder Frank,Paraguay,,,36,16. 11. 1989,,,,,man,right
Del Sol Mairin,Cuba,,,29,28. 10. 1996,,,,,woman,right
Filkov Stefan,North Macedonia,,,36,4. 2. 1990,,,,,man,right
Alvarez Adrian,Ecuador,,,30,8. 6. 1995,,,,,man,right
Khoshabeh Jasmine,Iran,,,27,16. 8. 1998,,,,,woman,right
Yuldasheva Sevil,Uzbekistan,,,24,9. 1. 2002,1246,847,1016,787,woman,right
Wainwright Mia,Great Britain,,,,,1111,1107,,,woman,right
Ahren Moonga Eric,Sweden,,,30,27. 12. 1995,1856,1777,-,1148,man,right
Blal Mohamed Lemine,Mauretania,,,30,1. 1. 1996,,,,,man,right
Carati Jenifer,Venezuela,,,38,24. 4. 1987,,,,,woman,right
Ngwohoh Nkwenti Blaise,Cameroon,,,33,4. 9. 1992,,,,,man,right
Asatiani David,Georgia,,,,,,,,,man,
Huwiler Josef,Zambia,,,36,28. 9. 1989,,,,,man,right
Keys Madison,USA,178,66,31,17. 2. 1995,15,5,544,56,woman,right
Montilla Gabriel,Puerto Rico,,,46,11. 8. 1979,-,675,-,697,man,right
Pleshivtsev Egor,Russia,,,,,1045,1041,1032,1026,man,right
Zhang Tianhui,China,,,20,19. 2. 2006,705,549,1258,1252,man,right
Aleksandrov Daniel,Israel,,,33,20. 4. 1992,-,1576,,,man,right
Zanolini Camilla,Italy,,,22,26. 3. 2003,558,448,947,899,woman,right
Kuzmova Katarina (2001),Slovakia,,,24,7. 8. 2001,339,332,244,217,woman,right
Detudamo David,Nauru,,,40,15. 7. 1985,,,,,man,right
Savic Mila,Luxembourg,,,22,1. 1. 2004,,,,,woman,right
Aaes Ludvig,Denmark,,,28,19. 2. 1998,,,,,man,right
Chernovita Mimma,Indonesia,,,51,11. 11. 1974,-,844,,,woman,right
Castillo Adrian,Dominican Rep.,,,22,1. 1. 2004,,,,,man,right
Chsherbakova Tatyana,Kazakhstan,,,21,28. 10. 2004,,,,,woman,right
Ugaro Vimbai Patience,Zimbabwe,,,31,13. 7. 1994,,,,,woman,right
Al Maktoum Saeed Hasher,UAE,,,62,10. 10. 1963,,,,,man,right
Adamovic Katarina,Serbia,,,32,24. 9. 1993,-,831,-,639,woman,right
Ssekandi Paul,Uganda,,,27,18. 4. 1998,,,,,man,right
Alfaro Cesar,Mexico,,,30,7. 5. 1995,,,,,man,right
Bolivar-Espinosa Deisy,Colombia,,,36,14. 2. 1990,,,,,woman,right
Zakharova Anastasia,Russia,,,24,18. 1. 2002,86,79,866,93,woman,right
Godwin Joanne,Indonesia,,,19,1. 1. 2007,,,,,woman,right
Han Jiangxue,China,,,24,28. 11. 2001,698,601,665,536,woman,right
Goscinny Rafael,Haiti,,,49,27. 2. 1977,,,-,1282,man,right
Chuang Chia-Jung,Chinese Taipei,168,62,41,10. 1. 1985,-,177,-,5,woman,right
Tshokey Tsheden,Bhutan,,,,,,,,,woman,
Csaszar Katalin,Hungary,,,45,24. 3. 1980,,,,,woman,right
Cuma Issa,Burundi,,,38,30. 9. 1987,-,1473,,,man,right
Ruiz Maria Elena,El Salvador,,,63,25. 8. 1962,,,,,woman,right
Kim Hee Joo,Korea,,,32,8. 7. 1993,,,,,woman,right
Cortez Llorca Lucia,Spain,,,25,5. 6. 2000,560,309,374,374,woman,right
Recek Dominik,Czech Republic,,,31,19. 2. 1995,1011,977,340,339,man,right
Andonov Luka Ljuben,North Macedonia,,,25,26. 2. 2001,,,,,man,right
Gailius Sarunas,Lithuania,,,39,19. 4. 1986,,,,,man,right
Holmgren August,Denmark,,,27,22. 4. 1998,201,144,564,284,man,right
Borrego Daleidis,Cuba,,,38,1. 1. 1988,,,,,woman,right
Arus Rodrigo,Uruguay,,,31,20. 2. 1995,-,1190,-,1453,man,right
Andrady Arantxa,India,,,34,26. 5. 1991,-,912,-,589,woman,right
Abd El Salam Mariam,Egypt,,,22,1. 1. 2004,,,,,woman,right
Abdellah Camelia,Morocco,,,32,28. 6. 1993,,,,,woman,right
Le Quoc-Khanh,Viet Nam,,,43,2. 9. 1982,-,1295,-,731,man,right
Braschinsky Alan,Estonia,,,29,3. 6. 1996,,,,,man,right
James Yannik,Grenada,,,30,21. 11. 1995,,,,,man,right
Kallias Fotos,Cyprus,,,42,6. 3. 1984,-,455,-,646,man,left
Watson Heather,Great Britain,170,64,33,19. 5. 1992,263,38,1420,39,woman,right
Fomete-Zambou Herman,Cameroon,,,42,28. 1. 1984,-,1829,,,man,right
Poljicak Mili,Croatia,,,21,13. 7. 2004,388,257,321,218,man,right
Rafailovic Iva,Montenegro,,,,,,,,,woman,left
Anuna Blessing,Nigeria,,,43,8. 10. 1982,-,1075,-,936,woman,right
Wong Tsz Fu,Hong Kong,,,21,1. 1. 2005,2212,2145,917,917,man,right
Hertzberg Idunn,Norway,,,38,15. 2. 1988,-,955,,,woman,right
Berendijas Tomaz,Slovenia,,,47,6. 2. 1979,-,1048,-,1033,man,right
Chang Sofia,El Salvador,,,,,,,,,woman,
Akaegbusi Tina,Nigeria,,,37,20. 4. 1988,,,,,woman,right
Smith Tina,Australia,,,23,12. 6. 2002,340,266,487,442,woman,right
Vujacic Ksenija-Ana,Montenegro,,,22,1. 1. 2004,,,,,woman,right
Landsberg Uys,Namibia,,,37,30. 12. 1988,,,,,man,right
Sashittal Arnav,UAE,,,31,4. 5. 1994,,,,,man,right
Altun Eray,Turkey,,,21,1. 1. 2005,,,,,man,right
Roca-Recarey Maria-Eugenia,Uruguay,,,36,4. 5. 1989,-,829,-,867,woman,left
Moazam Moein,Iran,,,,,1856,1802,-,2333,man,right
Borella Bob,Denmark,,,45,27. 6. 1980,-,1117,-,1144,man,right
Nikles Johan,Switzerland,170,68,28,23. 3. 1997,559,256,510,332,man,right
Yazdani Yasaman,Iran,,,,,,,,,woman,right
Edison Christian Alvin,Indonesia,,,27,21. 1. 1999,,,,,man,right
Becheur Rami,Tunisia,,,,,,,,,man,
Bertschmann Stephanie,Portugal,,,25,6. 1. 2001,,,-,824,woman,right
Ben Habiles Tarek-Nadir,Algeria,,,39,20. 4. 1986,,,,,man,right
Forlan Corazo Diego,Uruguay,,,,,,,,,man,
Alves Maria-Fernanda,Brazil,,,42,17. 4. 1983,-,132,-,109,woman,left
Zhang Ruien,China,,,,,674,638,1072,820,woman,right
Bouneb Zeineb,Tunisia,,,15,1. 1. 2011,,,,,woman,right
Chen Kai-Hsun,Chinese Taipei,,,26,27. 11. 1999,,,,,man,right
Vasenina Ecaterina,Moldavia,,,33,26. 6. 1992,,,,,woman,right
Jaunromans Karlis,Latvia,,,33,16. 11. 1992,,,,,man,right
Bowen Orthneal,Grenada,,,53,4. 9. 1972,,,,,man,right
Adkar Asmi,India,,,19,1. 1. 2007,,,,,woman,right
Carvallo Paulo,Paraguay,,,49,10. 7. 1976,-,354,-,231,man,right
Safarova Zdena,Czech Republic,,,22,28. 8. 2003,1319,1007,1154,705,woman,right
Alaoui Adnane,Morocco,,,38,31. 3. 1987,,,,,man,right
Antabi Tamer,Saudi Arabia,,,36,29. 5. 1989,,,,,man,left
Ce Gabriela,Brazil,164,58,33,3. 3. 1993,309,221,1150,109,woman,left
Aarif El Mehdi,Morocco,,,28,14. 10. 1997,,,,,man,right
Raharivony Edmond Romeo Nicolas,Madagascar,,,29,12. 5. 1996,,,,,man,right
Al Hafian Amr,Syria,,,42,1. 9. 1983,,,,,man,right
Gomez Federico Agustin,Argentina,,,29,26. 11. 1996,185,133,143,117,man,right
Yazdani Yasaman (2008),Iran,,,17,28. 3. 2008,,,,,woman,right
Atanasov Dimitar,Bulgaria,,,35,26. 11. 1990,,,,,man,right
Moradibajestani Soroor,Iran,,,,,,,,,woman,
Alfredsson Olivia,Sweden,,,26,5. 2. 2000,,,,,woman,right
Liivik Helene,Estonia,,,25,3. 8. 2000,,,,,woman,right
Panfilova Alena,Kyrgyzstan,,,30,31. 7. 1995,,,,,woman,right
Balassa Balazs,Hungary,,,,,,,,,man,
Roy Sree-Shamsol,Bangladesh,,,42,1. 2. 1984,,,,,man,right
Gardner Kevin,Antigua and Barbuda,,,43,2. 2. 1983,,,,,man,left
Golopurov Alexey,Kyrgyzstan,,,37,16. 12. 1988,,,,,man,right
Parisca Ignacio,Venezuela,,,20,20. 8. 2005,822,756,1177,925,man,right
Baroudi Leah,Syria,,,,,,,,,woman,right
Darya Savina,Kazakhstan,,,,,,,,,woman,right
Naydenov Stanislav,Turkmenistan,,,36,6. 4. 1989,,,,,man,right
Anley Bevan,RSA,,,32,23. 4. 1993,,,,,man,right
Sng Zachary,Singapore,,,17,1. 1. 2009,,,,,man,right
Agai Tomer,Israel,,,25,23. 4. 2000,,,,,man,right
Akkoyun Arya,Turkey,,,,,,,,,woman,
Suresh Dhakshineswar,India,,,25,29. 3. 2000,472,465,462,352,man,right
Ogescu Simona,Romania,,,23,5. 10. 2002,944,826,767,605,woman,right
Daouidian Haig,Syria,,,27,13. 1. 1999,,,,,man,right
Changawa Shufaa,Kenya,,,,,,,,,woman,
Dimitrov Sasha,Bulgaria,,,19,1. 1. 2007,,,,,woman,left
Chachkhunashvili Ana,Georgia,,,,,,,,,woman,right
Kamissa Richaad,Mozambique,,,31,12. 12. 1994,,,,,man,right
Tsegai Beruk,Eritrea,,,28,1. 1. 1998,,,,,man,right
Klavinska Elizabete,Latvia,,,,,,,,,woman,right
Alisultanova Ummarahmat,Turkmenistan,,,40,15. 5. 1985,,,,,woman,right
Bulatovic Nikoleta,Montenegro,,,28,7. 12. 1997,,,-,761,woman,right
Stavila Ludmila,Moldavia,,,39,16. 6. 1986,,,,,woman,right
Brouwer Gijs,Netherlands,191,72,29,14. 3. 1996,1212,114,-,148,man,left
Bugarikj Berk,North Macedonia,,,,,-,1706,-,1127,man,right
Charrouf Wanis,Morocco,,,33,30. 5. 1992,,,,,woman,right
Aviles Diego,Ecuador,,,40,1. 1. 1986,,,,,man,right
Konjikusic Petra,Serbia,,,,,750,748,,,woman,right
Grubor Ana,Canada,,,,,710,700,-,1511,woman,right
Alvarado David,Costa Rica,,,40,29. 9. 1985,,,,,man,right
Lukosiute Andre,Lithuania,,,24,23. 6. 2001,617,617,682,399,woman,right
Biskop Philip,Finland,,,24,29. 3. 2001,,,-,2071,man,left
Blanchet Ugo,France,,,27,5. 1. 1999,162,139,746,354,man,right
Shelbaya Zaid,Jordan,,,,,,,-,2307,man,right
Chan Wing-Yau Venise,Hong Kong,,,36,30. 5. 1989,-,340,-,517,woman,right
O'Neill Garcia Daniella,Puerto Rico,,,,,,,,,woman,right
Ghazaryan Arshak,Armenia,,,28,23. 3. 1997,,,,,man,right
Ku Yeon Woo,South Korea,,,22,15. 3. 2003,195,187,401,372,woman,right
Bouganga Sophia,Morocco,,,34,11. 12. 1991,,,,,woman,right
Van Herzeele James,Belgium,,,,,1095,1095,2047,2033,man,right
Bergler Olivia,Poland,,,,,1281,1032,-,886,woman,right
Ion Nicola,Canada,,,22,1. 1. 2004,1759,1745,1809,1760,man,right
Kipingo Kiango,Tanzania,,,39,20. 9. 1986,,,,,man,right
Chadli Abla,Morocco,,,31,15. 7. 1994,,,,,woman,right
Ahn Chanhoe,South Korea,,,29,8. 5. 1996,,,,,man,right
Akbar Babar,Pakistan,,,41,1. 12. 1984,,,,,man,right
Crowther Corban,New Zealand,,,22,23. 4. 2003,1286,845,1401,1083,man,right
Chepelev Andrey,Russia,,,27,2. 8. 1998,457,339,1163,401,man,left
Barranco Cosano Javier,Spain,175,72,27,17. 11. 1998,373,211,901,258,man,left
El Natour Mustapha,Lebanon,,,,,,,,,man,right
Kontic Nemanja,Montenegro,,,44,21. 3. 1981,-,1288,-,1100,man,right
Iglupas Khim,Philippines,,,27,23. 8. 1998,,,,,woman,right
Ong Yong Jie Isaac,Singapore,,,28,27. 5. 1997,,,,,man,right
Segarelli Francesca,Dominican Rep.,,,35,5. 9. 1990,-,424,-,342,woman,right
Choo Deanne,Singapore,,,,,,,,,woman,right
Chutragoon-Ngam Pichayakorn,Thailand,,,29,23. 1. 1997,,,,,woman,right
Yunchaokete Bu,China,,,24,19. 1. 2002,141,64,357,274,man,right
Belaunde Vasco,Peru,,,,,,,,,man,
Acosta Dario,Uruguay,,,38,9. 9. 1987,-,1371,-,1320,man,right
Artikbaeva Shahzoda,Uzbekistan,,,,,,,,,woman,right
Wijemanne Oshada,Sri Lanka,,,38,7. 7. 1987,,,-,1677,man,right
Avram Kateryna,Ukraine,,,26,24. 9. 1999,,,,,woman,right
Abou Agam,Israel,,,31,19. 10. 1994,,,,,man,right
Mmoh Michael,USA,188,90,28,10. 1. 1998,359,81,-,174,man,right
Crosetti Lea,Senegal,,,18,6. 8. 2007,,,,,woman,right
Hammond Eugene,Ghana,,,35,17. 5. 1990,,,,,man,right
Eikeri Theodor,Norway,,,38,31. 3. 1987,,,,,man,right
Mutallibov Vasif,Azerbaijan,,,48,28. 12. 1977,,,,,man,right
Heiskanen Lotta,Finland,,,24,19. 1. 2002,,,,,woman,right
Hristovska Nora,North Macedonia,,,25,27. 12. 2000,,,,,woman,right
Andrzejczuk Adrian,Poland,193,85,29,18. 3. 1996,-,887,-,375,man,right
Cannoni Miranda Macarena,Chile,,,23,1. 1. 2003,,,,,woman,right
Aizenberg Geraldine,Argentina,,,48,31. 1. 1978,-,287,-,396,woman,right
Muramatsu Chihiro,Japan,,,27,22. 5. 1998,643,205,1345,303,woman,left
Baburyan Tatevik,Armenia,,,,,,,,,woman,right
Bazula Geza,Hungary,,,37,25. 1. 1989,,,,,man,right
Ambrozic David Lucas,Slovenia,,,27,12. 1. 1999,,,,,man,right
Hyun Pauline,Papua N. Guinea,,,18,1. 1. 2008,,,,,woman,right
Canlas Calvin Charles,Philippines,,,30,24. 5. 1995,,,,,man,right
Kurniawan Lucky Candra,Indonesia,,,,,2176,2098,1365,1344,man,right
Affes Mohammed,Tunisia,,,,,-,1450,-,1602,man,right
Melzer Lennart,Luxembourg,,,24,10. 12. 2001,,,,,man,left
Andreev Ivan,North Macedonia,,,44,10. 1. 1982,-,1262,-,1352,man,right
Azimova Lola,Uzbekistan,,,34,26. 2. 1992,-,1031,-,722,woman,right
Wilson Emma,Great Britain,,,29,18. 2. 1997,1167,803,1157,471,woman,right
Kasapis Christos,Cyprus,,,27,19. 8. 1998,,,,,man,right
Erel Yanki,Turkey,,,25,25. 9. 2000,378,325,2221,405,man,left
Armbrister Donte,Bahamas,,,,,,,,,man,left
Beck Richard,Hong Kong,,,56,9. 7. 1969,,,,,man,right
Baumann Mikkel,Norway,,,25,22. 11. 2000,,,,,man,right
Badri Ahmed,UAE,,,28,1. 1. 1998,,,,,man,right
Leyva Rene,Cuba,,,53,6. 2. 1973,,,,,man,right
Araque Xavier,Ecuador,,,43,1. 1. 1983,,,,,man,right
Boubaker Wiem,Tunisia,,,,,-,1354,,,woman,right
Isakova Polina,Ukraine,,,15,26. 5. 2010,1262,1259,1717,1438,woman,right
Chaouch Yasmine,Algeria,,,40,23. 12. 1985,,,,,woman,right
Lumeta Chisomo,Malawi,,,27,24. 4. 1998,,,,,man,right
Ranaivo Narindra Corrine,Madagascar,,,,,,,,,woman,right
Masic Mila,Serbia,,,28,29. 11. 1997,924,875,517,513,woman,right
Hatouka Yuliya,Belarus,,,25,24. 4. 2000,776,180,643,376,woman,right
Sleem Rabee,Syria,,,,,,,,,man,right
Bucaro Andres,Guatemala,,,35,26. 11. 1990,,,,,man,right
Dece Flavio,Albania,,,32,9. 8. 1993,,,,,man,right
Velikova Darya,Bulgaria,,,22,1. 1. 2004,1389,1356,1111,1105,woman,right
Doldan Paola,Paraguay,,,39,7. 9. 1986,-,988,-,1203,woman,right
Babikova Noemi,Slovakia,,,22,1. 1. 2004,-,1224,-,986,woman,right
Rencheli Abigail,Moldavsko,,,23,5. 4. 2002,906,896,203,184,woman,right
Breen Riley,New Zealand,,,17,1. 1. 2009,,,,,man,right
Breazu Matei Florin,Romania,,,17,12. 4. 2008,1492,1451,1460,1296,man,right
Lim Danielle,Brunei,,,,,,,,,woman,
Khumalo Dumiso,Zimbabwe,,,44,12. 1. 1982,-,1710,-,966,man,right
Seibold Emily,Germany,,,,,465,442,-,401,woman,right
Molbaleh Fintan,Vanuatu,,,,,,,,,man,right
Salazar Amador,Chile,,,25,15. 2. 2001,1273,1176,814,807,man,left
Sun Zhengyu,China,,,19,9. 10. 2006,1647,1635,1717,1677,man,right
Gruenig Gian,Switzerland,,,26,2. 3. 2000,1419,1254,2344,2078,man,right
Knowles Mark,Bahamas,191,88,54,4. 9. 1971,-,194,-,1,man,right
Castellanos Paula Katherine,Ecuador,,,,,,,,,woman,right
Enukidze Jimsher,Georgia,,,46,14. 1. 1980,,,,,man,right
Allen Joel,Haiti,,,44,9. 11. 1981,,,,,man,right
Bessonov Dmitry,Russia,,,,,1272,1232,1505,1485,man,right
Fontenel Chelsea,Switzerland,,,,,763,746,332,291,woman,right
Abramovic Ivana,Croatia,,,42,3. 9. 1983,-,145,-,141,woman,right
Staub Iris,Iceland,,,,,,,,,woman,
Esposito Mario,Guatemala,,,34,7. 6. 1991,,,,,man,right
Quintana Maibel,Cuba,,,37,20. 1. 1989,,,,,woman,right
Bucea Iulia,Canada,,,,,1444,1101,,,woman,right
Al Sayed Omar Latifah,Kuwait,,,36,10. 7. 1989,,,,,woman,right
Dunn Emily,New Zealand,,,,,,,,,woman,right
Albayrak Ezgi,Turkey,,,36,11. 5. 1989,,,,,woman,right
Tere Lawrence,Papua N. Guinea,,,46,25. 2. 1980,,,,,man,right
Tukhtaeva Sumaya,Tajikistan,,,19,1. 1. 2007,,,,,woman,right
Anglesjo Sandra,Sweden,,,27,29. 3. 1998,,,,,woman,left
Al Mulla Jassim,Qatar,,,32,3. 3. 1994,,,,,man,right
Colic Lejla,Bosnia and Herzeg.,,,28,2. 1. 1998,,,,,woman,right
Davitadze Demur,Georgia,,,29,8. 7. 1996,,,,,man,right
Lim Chung Peng,Brunei,,,39,1. 1. 1987,,,,,man,right
Biggs Juho Eric,Finland,,,,,,,,,man,right
Lansere Sofya,Russia,,,25,29. 9. 2000,399,200,282,119,woman,right
Rodriguez Juliana,Uruguay,,,,,-,1129,-,1157,woman,right
Hayford Raynond,Ghana,,,36,20. 9. 1989,,,,,man,right
Aslam Muhammad Naveed,Pakistan,,,43,18. 5. 1982,,,,,man,right
Chen Charles,China,,,18,20. 12. 2007,1290,1079,,,man,right
Jancev Lazar,North Macedonia,,,41,12. 4. 1984,,,,,man,right
Bogdanets Aliaksei,Belarus,,,,,,,,,man,
Aldica Florian,Romania,,,26,17. 7. 1999,,,,,man,right
Vasami Jacopo,Italy,,,18,19. 12. 2007,550,550,405,387,man,right
Mocanu Anghelina,Moldavsko,,,20,1. 1. 2006,,,,,woman,right
Abd El Hamid Hana,Egypt,,,20,1. 1. 2006,,,,,woman,right
Chin John,Jamaica,,,22,15. 9. 2003,-,1005,-,1500,man,right
Abutovic Sara,Slovenia,,,40,1. 1. 1986,-,1106,-,774,woman,right
Sharif Maram Mohamed,Bahrain,,,24,14. 7. 2001,,,,,woman,right
Martin Benjaminjacob,Philippines,,,25,18. 9. 2000,,,,,man,right
Demenega Dafni,Greece,,,27,6. 6. 1998,,,,,woman,right
Mikrut Luka,Croatia,,,21,16. 4. 2004,165,159,264,264,man,right
Cunza Giuliana,Peru,,,20,1. 1. 2006,,,,,woman,right
Fukuda Sora,Japan,183,72,28,3. 10. 1997,711,378,1090,454,man,left
Chachkhiani Sofia,Georgia,,,21,1. 1. 2005,,,,,woman,right
Aguirre-Cruz Ignacio,Mexico,,,58,20. 1. 1968,,,,,man,right
Alesha Karyna,Belarus,,,32,24. 12. 1993,,,,,woman,right
An Juhyung,South Korea,,,28,11. 11. 1997,,,,,man,right
Kirci Koray,Turkey,,,27,17. 8. 1998,1042,616,2652,748,man,right
Chavez Daniel,Guatemala,,,60,27. 1. 1966,,,,,man,right
Tlhan Kane Tshepang,Botswana,,,40,1. 12. 1985,,,,,man,right
Aboian Valerio,Argentina,,,23,14. 6. 2002,462,378,554,242,man,left
Ante Ricardo,Ecuador,,,43,3. 8. 1982,-,1314,,,man,right
Basnyat Sumitra,Thailand,,,29,23. 12. 1996,,,,,woman,right
Jacobe Cyril,Vanuatu,,,42,31. 3. 1983,,,,,man,right
Milosevic Dina,Yugoslavia,,,43,13. 1. 1983,-,674,-,444,woman,right
Machac Tomas,Czech Republic,183,73,25,13. 10. 2000,50,20,114,46,man,right
Zandamela Lorena,Mozambique,,,17,1. 1. 2009,,,,,woman,right
Wang Aoran,China,191,86,29,5. 2. 1997,891,712,269,175,man,right
Bamidele Temitope,Nigeria,,,40,11. 4. 1985,,,,,woman,right
Martinez-Blanco Chantal,Puerto Rico,160,52,29,7. 2. 1997,,,,,woman,right
Ankhbayar Tamir,Mongolia,,,22,9. 6. 2003,,,,,man,right
Barboza Juan-Pablo,Paraguay,,,46,3. 4. 1979,,,,,man,right
Parazinskaite Akvile,Lithuania,,,29,29. 11. 1996,-,491,-,356,woman,right
Kudermetova Polina,Uzbekistan,,,22,4. 6. 2003,147,54,260,203,woman,right
Georgiev Georgi,Bulgaria,,,,,1316,873,1510,1082,man,right
Bedelbayev Adil,Kazakhstan,,,,,,,,,man,
Bonaguro La Roche Bethania Carolina,Venezuela,,,18,1. 1. 2008,,,,,woman,right
Knutson Gabriela,Czech Republic,,,28,21. 4. 1997,224,155,216,216,woman,right
Benzeggouta Jaber,Algeria,,,26,30. 12. 1999,,,,,man,right
Hornby Adam,Barbados,,,30,23. 7. 1995,,,,,man,right
Heino Julianna,Finland,,,32,18. 1. 1994,,,,,woman,right
Burruchaga Roman Andres,Argentina,,,24,23. 1. 2002,98,96,-,191,man,right
Abdulnabi Yousif,Bahrain,,,40,11. 7. 1985,,,,,man,right
Atanasov Stefan,Bulgaria,,,33,7. 2. 1993,,,,,man,right
De Rossi Marco,San Marino,,,28,27. 6. 1997,-,1101,-,729,man,right
Bargaoui Amira,Tunisia,,,21,12. 8. 2004,,,,,woman,right
Peck Joshua,Canada,196,78,27,10. 12. 1998,1284,575,1344,635,man,right
Jukic Sanja,Yugoslavia,,,43,11. 9. 1982,-,744,-,768,woman,right
Ayoub Jad,Lebanon,,,42,25. 3. 1983,,,,,man,right
Aouimeur Fatima,Algeria,,,36,20. 12. 1989,,,,,woman,right
Niangadou Coumba Ben Mamadou,Mali,,,,,,,,,woman,right
Manamperi Janali,Sri Lanka,,,25,13. 8. 2000,,,,,woman,right
Turcan Igor,Moldavsko,,,32,16. 6. 1993,,,,,man,right
Llera Ana Gabriela,Puerto Rico,,,34,1. 8. 1991,,,,,woman,right
Alsayed Ahmed,Bahrain,,,17,1. 1. 2009,,,,,man,right
Arcos Amonica,Ecuador,,,32,26. 6. 1993,,,,,woman,right
Lachinova Adelina,Latvia,,,,,587,562,914,914,woman,right
Andrade Andres,Ecuador,180,73,27,14. 12. 1998,236,232,384,202,man,right
Bektas Emina,USA,,,32,30. 3. 1993,370,82,420,78,woman,right
Pecotic Matija,Croatia,185,83,36,3. 7. 1989,1856,206,-,337,man,left
Voaviandraina Harena,Madagascar,,,20,1. 1. 2006,,,,,woman,right
Gomez Galloso Jessica,Cuba,,,33,23. 1. 1993,,,,,woman,right
Johnson Igeez Kush,Jamaica,,,62,20. 2. 1964,,,,,man,right
Spiteri Dalila,Italy,,,28,24. 4. 1997,271,271,785,315,woman,right
Almeida Afonso,Portugal,,,23,1. 1. 2003,,,,,man,right
Henry Elvis,Jamaica,,,50,6. 3. 1976,,,,,man,right
Cheng Wei-Jen,Chinese Taipei,,,45,2. 12. 1980,-,708,-,986,man,right
Forejtek Jonas,Czech Republic,180,71,25,10. 3. 2001,356,217,415,300,man,right
Rafael Tania Elisio,Mozambique,,,18,11. 6. 2007,,,,,woman,right
Dalecka Darta,Latvia,,,24,1. 1. 2002,,,,,woman,right
Iamachkine Anastasia,Peru,,,25,12. 9. 2000,-,713,-,439,woman,right
Chen Yu-Lun,Chinese Taipei,,,,,,,,,man,right
Gruter Santiago,El Salvador,,,38,4. 9. 1987,,,,,man,right
Vojinovic Lazar,Serbia,,,26,15. 3. 1999,2176,1305,2616,1382,man,right
Rosti Massimiliano,San Marino,,,49,29. 5. 1976,,,,,man,right
Kazembe Edgar,Zambia,,,44,22. 11. 1981,,,,,man,right
Alome Pascal Ziyab,Ghana,,,,,-,1724,,,man,right
