rank,name,country_name,country_id,active,value
153,Radu Albot,"Moldova, Republic of",MDA,false,168 km/h
154,Sebastian Baez,Argentina,ARG,false,167 km/h
155,Andreas Seppi,Italy,ITA,false,167 km/h
156,Tomas Machac,Czech Republic,CZE,false,167 km/h
157,Jenson Brooksby,United States,USA,false,167 km/h
158,Pablo Cuevas,Uruguay,URU,false,166 km/h
159,Andrey Kuznetsov,Russian Federation,RUS,false,166 km/h
160,Philipp Kohlschreiber,Germany,GER,false,166 km/h
161,Mikhail Kukushkin,Kazakhstan,KAZ,false,166 km/h
162,Bernabe Zapata Miralles,Spain,ESP,false,165 km/h
163,Federico Delbonis,Argentina,ARG,false,164 km/h
164,Kei Nishikori,Japan,JPN,false,162 km/h
165,Albert Ramos,Spain,ESP,false,162 km/h
166,Damir Dzumhur,Bosnia and Herzegovina,BIH,false,162 km/h
167,Corentin Moutet,France,FRA,false,160 km/h
168,Hugo Gaston,France,FRA,false,159 km/h
169,Hugo Dellien,"Bolivia, Plurinational State of",BOL,false,158 km/h
170,Gilles Simon,France,FRA,false,158 km/h
171,Diego Sebastian Schwartzman,Argentina,ARG,false,158 km/h
172,Egor Gerasimov,Belarus,BLR,false,157 km/h
173,Yoshihito Nishioka,Japan,JPN,false,156 km/h
174,Pablo Andujar,Spain,ESP,false,137 km/h
175,Bradley Klahn,United States,USA,false,118 km/h
