,rank,value,height_cm,weight_kg,age,singles_rank_current,singles_rank_highest,doubles_rank_current,doubles_rank_highest,sex,plays
86,143,170,183.0,82.0,31.0,116.0,26.0,66.0,3.0,man,right
87,144,170,183.0,82.0,33.0,691.0,80.0,,126.0,man,right
88,145,169,180.0,79.0,37.0,48.0,17.0,,34.0,man,left
89,147,169,191.0,86.0,27.0,402.0,50.0,,226.0,man,right
90,148,169,188.0,82.0,30.0,29.0,8.0,251.0,65.0,man,left
91,149,169,185.0,78.0,27.0,20.0,18.0,255.0,135.0,man,right
92,150,169,183.0,75.0,27.0,890.0,50.0,,91.0,man,right
93,152,168,193.0,79.0,32.0,1028.0,36.0,,140.0,man,right
94,153,168,175.0,69.0,36.0,419.0,39.0,1423.0,56.0,man,right
95,154,167,170.0,70.0,25.0,53.0,18.0,,189.0,man,right
96,156,167,183.0,73.0,25.0,50.0,20.0,114.0,46.0,man,right
97,157,167,188.0,82.0,25.0,41.0,33.0,,249.0,man,right
98,158,166,180.0,78.0,,,19.0,,14.0,man,right
99,161,166,183.0,72.0,38.0,259.0,39.0,892.0,67.0,man,right
100,164,162,178.0,73.0,36.0,284.0,4.0,,41.0,man,right
101,166,162,175.0,68.0,33.0,64.0,23.0,899.0,117.0,man,right
102,167,160,175.0,68.0,26.0,33.0,31.0,347.0,72.0,man,left
103,168,159,173.0,68.0,25.0,96.0,58.0,887.0,161.0,man,left
104,169,158,180.0,75.0,32.0,164.0,64.0,,111.0,man,right
105,172,157,196.0,86.0,33.0,827.0,65.0,914.0,78.0,man,right
106,173,156,170.0,64.0,30.0,170.0,24.0,,56.0,man,left
